"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt0360556","Fahrenheit 451",2018,2,5,1,"2018-05-20",100,"USA","","English","HBO Films","Sunday","weekend","May","Standard","nm1023919","Ramin Bahrani",84,"1975-03-20","Thriller",4.9,15320,5
"tt0427543","A Million Little Pieces",2019,3,8,6,"2019-08-30",113,"USA","$ 49710","English","3Blackdot","Friday","weekday","August","Standard","nm0853374","Sam Taylor-Johnson",0,"1967-03-04","Drama",6.5,292,7
"tt0451279","Wonder Woman",2017,2,6,5,"2017-06-01",141,"USA, China, Hong Kong","$ 821847012","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","Warner Bros.","Thursday","weekday","June","Long","nm0420941","Patty Jenkins",200,"1971-07-24","Action",7.4,507173,8
"tt0451279","Wonder Woman",2017,2,6,5,"2017-06-01",141,"USA, China, Hong Kong","$ 821847012","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","Warner Bros.","Thursday","weekday","June","Long","nm0420941","Patty Jenkins",200,"1971-07-24","Adventure",7.4,507173,8
"tt0451279","Wonder Woman",2017,2,6,5,"2017-06-01",141,"USA, China, Hong Kong","$ 821847012","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","Warner Bros.","Thursday","weekday","June","Long","nm0420941","Patty Jenkins",200,"1971-07-24","Fantasy",7.4,507173,8
"tt0491175","Suburbicon",2017,4,11,6,"2017-11-24",105,"UK, USA","$ 12751667","English","Black Bear Pictures","Friday","weekday","November","Standard","nm0000123","George Clooney",180,"1961-05-06","Comedy",5.7,34001,6
"tt0491175","Suburbicon",2017,4,11,6,"2017-11-24",105,"UK, USA","$ 12751667","English","Black Bear Pictures","Friday","weekday","November","Standard","nm0000123","George Clooney",180,"1961-05-06","Crime",5.7,34001,6
"tt0491175","Suburbicon",2017,4,11,6,"2017-11-24",105,"UK, USA","$ 12751667","English","Black Bear Pictures","Friday","weekday","November","Standard","nm0000123","George Clooney",180,"1961-05-06","Drama",5.7,34001,6
"tt0491203","Tulip Fever",2018,4,12,6,"2018-12-07",105,"UK, USA","$ 8381715","English","Worldview Entertainment","Friday","weekday","December","Standard","nm0149491","Justin Chadwick",0,"1968-12-01","Drama",6.2,16190,6
"tt0491203","Tulip Fever",2018,4,12,6,"2018-12-07",105,"UK, USA","$ 8381715","English","Worldview Entertainment","Friday","weekday","December","Standard","nm0149491","Justin Chadwick",0,"1968-12-01","Romance",6.2,16190,6
